answerKey,id,question,question_concept,choices,stem
E,746d4507203ad0b6374ad03686b544cc,"{'question_concept': 'play poker', 'choices': [{'label': 'A', 'text': 'losing money'}, {'label': 'B', 'text': 'drink'}, {'label': 'C', 'text': 'bet money'}, {'label': 'D', 'text': 'concentrate'}, {'label': 'E', 'text': 'ante up'}], 'stem': 'He sat down at the table to play poker, to join the hand he had to what?'}",play poker,"[{'label': 'A', 'text': 'losing money'}, {'label': 'B', 'text': 'drink'}, {'label': 'C', 'text': 'bet money'}, {'label': 'D', 'text': 'concentrate'}, {'label': 'E', 'text': 'ante up'}]","He sat down at the table to play poker, to join the hand he had to what?"
B,33c963d10ee6d129f9889b0369fd51ca,"{'question_concept': 'becoming inebriated', 'choices': [{'label': 'A', 'text': 'regret'}, {'label': 'B', 'text': 'drunkenness'}, {'label': 'C', 'text': 'high energy'}, {'label': 'D', 'text': 'paralysis'}, {'label': 'E', 'text': 'arrest'}], 'stem': 'Becoming inebriated leads to what state?'}",becoming inebriated,"[{'label': 'A', 'text': 'regret'}, {'label': 'B', 'text': 'drunkenness'}, {'label': 'C', 'text': 'high energy'}, {'label': 'D', 'text': 'paralysis'}, {'label': 'E', 'text': 'arrest'}]",Becoming inebriated leads to what state?
B,cac490541d161f278fa0dda9958d9ed0,"{'question_concept': 'human', 'choices': [{'label': 'A', 'text': 'ocean'}, {'label': 'B', 'text': 'write'}, {'label': 'C', 'text': 'smile'}, {'label': 'D', 'text': 'die'}, {'label': 'E', 'text': 'think critically'}], 'stem': 'Luke was a human. Like most humans, he learned from his parents.  He was mortal, but he could preserve himself by doing what?'}",human,"[{'label': 'A', 'text': 'ocean'}, {'label': 'B', 'text': 'write'}, {'label': 'C', 'text': 'smile'}, {'label': 'D', 'text': 'die'}, {'label': 'E', 'text': 'think critically'}]","Luke was a human. Like most humans, he learned from his parents.  He was mortal, but he could preserve himself by doing what?"
E,f5d99fd32c631fdd35dea1b98e4f95a4,"{'question_concept': 'riding horse', 'choices': [{'label': 'A', 'text': 'bouncing'}, {'label': 'B', 'text': 'shaky'}, {'label': 'C', 'text': 'fear'}, {'label': 'D', 'text': 'movement'}, {'label': 'E', 'text': 'stiffness'}], 'stem': 'Sarah loved riding horse but she was having pain in his legs because of it. She was experiencing what sesation?'}",riding horse,"[{'label': 'A', 'text': 'bouncing'}, {'label': 'B', 'text': 'shaky'}, {'label': 'C', 'text': 'fear'}, {'label': 'D', 'text': 'movement'}, {'label': 'E', 'text': 'stiffness'}]",Sarah loved riding horse but she was having pain in his legs because of it. She was experiencing what sesation?
A,712f7e98465c85b159d410b78e722545,"{'question_concept': 'terrace', 'choices': [{'label': 'A', 'text': 'garden'}, {'label': 'B', 'text': 'yard'}, {'label': 'C', 'text': 'southern europe'}, {'label': 'D', 'text': 'rice paddy'}, {'label': 'E', 'text': 'house'}], 'stem': 'She could wait for her new terrace to be covered in green next year, it was the final piece of her dream what?'}",terrace,"[{'label': 'A', 'text': 'garden'}, {'label': 'B', 'text': 'yard'}, {'label': 'C', 'text': 'southern europe'}, {'label': 'D', 'text': 'rice paddy'}, {'label': 'E', 'text': 'house'}]","She could wait for her new terrace to be covered in green next year, it was the final piece of her dream what?"
A,357d23b1b6ee9c8429732abbb87d3855,"{'question_concept': 'bee', 'choices': [{'label': 'A', 'text': 'united states'}, {'label': 'B', 'text': 'apiary'}, {'label': 'C', 'text': 'michigan'}, {'label': 'D', 'text': 'trees'}, {'label': 'E', 'text': 'field of flowers'}], 'stem': 'From state to state gardeners appreciate the bee, it is a popular pollinator where?'}",bee,"[{'label': 'A', 'text': 'united states'}, {'label': 'B', 'text': 'apiary'}, {'label': 'C', 'text': 'michigan'}, {'label': 'D', 'text': 'trees'}, {'label': 'E', 'text': 'field of flowers'}]","From state to state gardeners appreciate the bee, it is a popular pollinator where?"
E,3b776e4cf27e8e7fb238665e138b4515,"{'question_concept': 'prison', 'choices': [{'label': 'A', 'text': 'forest'}, {'label': 'B', 'text': 'city'}, {'label': 'C', 'text': 'countryside'}, {'label': 'D', 'text': 'america'}, {'label': 'E', 'text': 'alcatraz'}], 'stem': 'Many prison movies take place at what famous prison?'}",prison,"[{'label': 'A', 'text': 'forest'}, {'label': 'B', 'text': 'city'}, {'label': 'C', 'text': 'countryside'}, {'label': 'D', 'text': 'america'}, {'label': 'E', 'text': 'alcatraz'}]",Many prison movies take place at what famous prison?
D,9b8cd9811a98920365c738d2084eefa5,"{'question_concept': 'lizard', 'choices': [{'label': 'A', 'text': 'forrest'}, {'label': 'B', 'text': 'desert'}, {'label': 'C', 'text': 'tropics'}, {'label': 'D', 'text': 'china'}, {'label': 'E', 'text': 'garden'}], 'stem': 'The lizard lived at the base of the ancient longest wall, what country did it likely live in?'}",lizard,"[{'label': 'A', 'text': 'forrest'}, {'label': 'B', 'text': 'desert'}, {'label': 'C', 'text': 'tropics'}, {'label': 'D', 'text': 'china'}, {'label': 'E', 'text': 'garden'}]","The lizard lived at the base of the ancient longest wall, what country did it likely live in?"
B,e73d6adda1b587aa99ab26b17eaae7c5,"{'question_concept': 'flute', 'choices': [{'label': 'A', 'text': 'park'}, {'label': 'B', 'text': 'symphony'}, {'label': 'C', 'text': 'orchestra'}, {'label': 'D', 'text': 'music shop'}, {'label': 'E', 'text': 'musical instrument store'}], 'stem': 'Where might someone go to watch a flute?'}",flute,"[{'label': 'A', 'text': 'park'}, {'label': 'B', 'text': 'symphony'}, {'label': 'C', 'text': 'orchestra'}, {'label': 'D', 'text': 'music shop'}, {'label': 'E', 'text': 'musical instrument store'}]",Where might someone go to watch a flute?
D,01222aa87ada7283129f7662cc0c4c5b,"{'question_concept': 'person', 'choices': [{'label': 'A', 'text': 'good review'}, {'label': 'B', 'text': 'headache'}, {'label': 'C', 'text': 'with cat'}, {'label': 'D', 'text': 'loyal friends'}, {'label': 'E', 'text': 'shoes'}], 'stem': 'Family is always the best for devotion, but it is also nice if a person has what?'}",person,"[{'label': 'A', 'text': 'good review'}, {'label': 'B', 'text': 'headache'}, {'label': 'C', 'text': 'with cat'}, {'label': 'D', 'text': 'loyal friends'}, {'label': 'E', 'text': 'shoes'}]","Family is always the best for devotion, but it is also nice if a person has what?"
B,1071356c6f9c269dd31f60a388235881,"{'question_concept': 'marker', 'choices': [{'label': 'A', 'text': ""child's backpack""}, {'label': 'B', 'text': 'desk'}, {'label': 'C', 'text': 'pocket'}, {'label': 'D', 'text': 'office supply store'}, {'label': 'E', 'text': 'briefcase'}], 'stem': 'Where would you put a marker if you plan to use it soon at the same location?'}",marker,"[{'label': 'A', 'text': ""child's backpack""}, {'label': 'B', 'text': 'desk'}, {'label': 'C', 'text': 'pocket'}, {'label': 'D', 'text': 'office supply store'}, {'label': 'E', 'text': 'briefcase'}]",Where would you put a marker if you plan to use it soon at the same location?
C,603acfcb73c489f6cc374cd1d8d10b07,"{'question_concept': 'container can', 'choices': [{'label': 'A', 'text': 'liquid'}, {'label': 'B', 'text': 'store'}, {'label': 'C', 'text': 'garage'}, {'label': 'D', 'text': 'pantry'}, {'label': 'E', 'text': 'gutter'}], 'stem': 'He kept a container can for draining oil in what location of the house?'}",container can,"[{'label': 'A', 'text': 'liquid'}, {'label': 'B', 'text': 'store'}, {'label': 'C', 'text': 'garage'}, {'label': 'D', 'text': 'pantry'}, {'label': 'E', 'text': 'gutter'}]",He kept a container can for draining oil in what location of the house?
A,051a9fcd42a663e4b0f5d0a487fcd9bc,"{'question_concept': 'humans', 'choices': [{'label': 'A', 'text': 'one head'}, {'label': 'B', 'text': 'two ears'}, {'label': 'C', 'text': 'lay eggs'}, {'label': 'D', 'text': '3 legs'}, {'label': 'E', 'text': 'two feet'}], 'stem': 'What do humans have that cerberus does not have?'}",humans,"[{'label': 'A', 'text': 'one head'}, {'label': 'B', 'text': 'two ears'}, {'label': 'C', 'text': 'lay eggs'}, {'label': 'D', 'text': '3 legs'}, {'label': 'E', 'text': 'two feet'}]",What do humans have that cerberus does not have?
A,ccd7790911b0ab4667511d491c208609,"{'question_concept': 'driving', 'choices': [{'label': 'A', 'text': 'deaths'}, {'label': 'B', 'text': 'moving'}, {'label': 'C', 'text': 'car wrecks'}, {'label': 'D', 'text': 'using gas'}, {'label': 'E', 'text': 'may die'}], 'stem': 'Danny was studying statistics in class, and he something disturbing about driving.   It causes a significant number of what?'}",driving,"[{'label': 'A', 'text': 'deaths'}, {'label': 'B', 'text': 'moving'}, {'label': 'C', 'text': 'car wrecks'}, {'label': 'D', 'text': 'using gas'}, {'label': 'E', 'text': 'may die'}]","Danny was studying statistics in class, and he something disturbing about driving.   It causes a significant number of what?"
B,e13eaf84dcbb81681834b71748c635d1,"{'question_concept': 'anger', 'choices': [{'label': 'A', 'text': 'illustrate point'}, {'label': 'B', 'text': 'destroy enemy'}, {'label': 'C', 'text': 'cool off'}, {'label': 'D', 'text': 'write letter'}, {'label': 'E', 'text': 'get drunk'}], 'stem': 'The video game featured an anger bar that you charged up to more easily do what?'}",anger,"[{'label': 'A', 'text': 'illustrate point'}, {'label': 'B', 'text': 'destroy enemy'}, {'label': 'C', 'text': 'cool off'}, {'label': 'D', 'text': 'write letter'}, {'label': 'E', 'text': 'get drunk'}]",The video game featured an anger bar that you charged up to more easily do what?
E,b09565ee419576bc451a65a1013443ec,"{'question_concept': 'changing room', 'choices': [{'label': 'A', 'text': 'gym'}, {'label': 'B', 'text': 'clothing store'}, {'label': 'C', 'text': ""change baby's diaper""}, {'label': 'D', 'text': 'department store'}, {'label': 'E', 'text': 'schools'}], 'stem': 'Where would you use a changing room before gym?'}",changing room,"[{'label': 'A', 'text': 'gym'}, {'label': 'B', 'text': 'clothing store'}, {'label': 'C', 'text': ""change baby's diaper""}, {'label': 'D', 'text': 'department store'}, {'label': 'E', 'text': 'schools'}]",Where would you use a changing room before gym?
E,694e6674295de4ab2d93fad3d7ba48c1,"{'question_concept': 'bird', 'choices': [{'label': 'A', 'text': 'two legs'}, {'label': 'B', 'text': 'feathers'}, {'label': 'C', 'text': 'entertain yourself'}, {'label': 'D', 'text': 'head'}, {'label': 'E', 'text': 'two wings'}], 'stem': 'The bird took flight by moving its what?'}",bird,"[{'label': 'A', 'text': 'two legs'}, {'label': 'B', 'text': 'feathers'}, {'label': 'C', 'text': 'entertain yourself'}, {'label': 'D', 'text': 'head'}, {'label': 'E', 'text': 'two wings'}]",The bird took flight by moving its what?
D,29c03f7753025ff7a04816ccdcc6e3c4,"{'question_concept': 'human', 'choices': [{'label': 'A', 'text': 'detroit'}, {'label': 'B', 'text': 'elevator'}, {'label': 'C', 'text': 'workplace'}, {'label': 'D', 'text': 'downtown'}, {'label': 'E', 'text': 'mall'}], 'stem': 'A human wants to go shopping in a dense urban area.  Where might be a good place for a person to go shopping?'}",human,"[{'label': 'A', 'text': 'detroit'}, {'label': 'B', 'text': 'elevator'}, {'label': 'C', 'text': 'workplace'}, {'label': 'D', 'text': 'downtown'}, {'label': 'E', 'text': 'mall'}]",A human wants to go shopping in a dense urban area.  Where might be a good place for a person to go shopping?
C,baa25ff3ae9064e2c0824d0e702f711a,"{'question_concept': 'beautiful', 'choices': [{'label': 'A', 'text': 'bee utiful'}, {'label': 'B', 'text': 'ugly'}, {'label': 'C', 'text': 'dull'}, {'label': 'D', 'text': 'plain'}, {'label': 'E', 'text': 'wet'}], 'stem': 'It could have been a beautiful day, but what did the overcast sky do to the color?'}",beautiful,"[{'label': 'A', 'text': 'bee utiful'}, {'label': 'B', 'text': 'ugly'}, {'label': 'C', 'text': 'dull'}, {'label': 'D', 'text': 'plain'}, {'label': 'E', 'text': 'wet'}]","It could have been a beautiful day, but what did the overcast sky do to the color?"
A,d265fa98480eddeca7db28d8c73ad4d2,"{'question_concept': 'tearoom', 'choices': [{'label': 'A', 'text': 'building'}, {'label': 'B', 'text': 'london'}, {'label': 'C', 'text': 'england'}, {'label': 'D', 'text': 'boston ship harbor'}, {'label': 'E', 'text': 'restaurant'}], 'stem': 'Where will any tearoom be?'}",tearoom,"[{'label': 'A', 'text': 'building'}, {'label': 'B', 'text': 'london'}, {'label': 'C', 'text': 'england'}, {'label': 'D', 'text': 'boston ship harbor'}, {'label': 'E', 'text': 'restaurant'}]",Where will any tearoom be?
B,951723b28151ba3e238917afc8bf032a,"{'question_concept': 'deep', 'choices': [{'label': 'A', 'text': 'deepfelt'}, {'label': 'B', 'text': 'light'}, {'label': 'C', 'text': 'high'}, {'label': 'D', 'text': 'frivolous'}, {'label': 'E', 'text': 'mountain'}], 'stem': 'If you are deep in a cave, what would you follow to find your way out?'}",deep,"[{'label': 'A', 'text': 'deepfelt'}, {'label': 'B', 'text': 'light'}, {'label': 'C', 'text': 'high'}, {'label': 'D', 'text': 'frivolous'}, {'label': 'E', 'text': 'mountain'}]","If you are deep in a cave, what would you follow to find your way out?"
E,9e15b6ac3333c02afacb53a286051ff2,"{'question_concept': 'playing baseball', 'choices': [{'label': 'A', 'text': 'happiness'}, {'label': 'B', 'text': 'sore muscles'}, {'label': 'C', 'text': 'injury'}, {'label': 'D', 'text': 'perfection'}, {'label': 'E', 'text': 'errors'}], 'stem': 'When playing baseball they keep track of mistakes, this stat is called what?'}",playing baseball,"[{'label': 'A', 'text': 'happiness'}, {'label': 'B', 'text': 'sore muscles'}, {'label': 'C', 'text': 'injury'}, {'label': 'D', 'text': 'perfection'}, {'label': 'E', 'text': 'errors'}]","When playing baseball they keep track of mistakes, this stat is called what?"
D,fed410c2c6c1eef23c4fdfd8a1fc501e,"{'question_concept': 'people', 'choices': [{'label': 'A', 'text': 'town'}, {'label': 'B', 'text': 'conference'}, {'label': 'C', 'text': 'bathroom'}, {'label': 'D', 'text': 'theater'}, {'label': 'E', 'text': 'train station'}], 'stem': 'When people want to watch a new move, the often go see it at the?'}",people,"[{'label': 'A', 'text': 'town'}, {'label': 'B', 'text': 'conference'}, {'label': 'C', 'text': 'bathroom'}, {'label': 'D', 'text': 'theater'}, {'label': 'E', 'text': 'train station'}]","When people want to watch a new move, the often go see it at the?"
C,d0f6be91ef071b5a5a4a9a84c5138446,"{'question_concept': 'having food', 'choices': [{'label': 'A', 'text': 'digesting'}, {'label': 'B', 'text': 'being full'}, {'label': 'C', 'text': 'will not starve'}, {'label': 'D', 'text': 'survive'}, {'label': 'E', 'text': 'getting fat'}], 'stem': 'What is the goal of a poor person having food?'}",having food,"[{'label': 'A', 'text': 'digesting'}, {'label': 'B', 'text': 'being full'}, {'label': 'C', 'text': 'will not starve'}, {'label': 'D', 'text': 'survive'}, {'label': 'E', 'text': 'getting fat'}]",What is the goal of a poor person having food?
E,abeb350beeb13cae3af0b79a37c088e2,"{'question_concept': 'climbing', 'choices': [{'label': 'A', 'text': 'calluses'}, {'label': 'B', 'text': 'loss of oxygen'}, {'label': 'C', 'text': 'vertigo'}, {'label': 'D', 'text': 'ascending'}, {'label': 'E', 'text': 'blisters'}], 'stem': 'When james was climbing he experiences a couple of symptoms.  The most painful and long lasting was on his hands.   What  might have happened to him?'}",climbing,"[{'label': 'A', 'text': 'calluses'}, {'label': 'B', 'text': 'loss of oxygen'}, {'label': 'C', 'text': 'vertigo'}, {'label': 'D', 'text': 'ascending'}, {'label': 'E', 'text': 'blisters'}]",When james was climbing he experiences a couple of symptoms.  The most painful and long lasting was on his hands.   What  might have happened to him?
B,a518e6486a560ddef1ba140c75944ef3,"{'question_concept': 'cat', 'choices': [{'label': 'A', 'text': 'floor'}, {'label': 'B', 'text': 'ground'}, {'label': 'C', 'text': 'warm bed'}, {'label': 'D', 'text': 'sand box'}, {'label': 'E', 'text': 'window'}], 'stem': 'What do cats like to hug when they are peeking at birds?'}",cat,"[{'label': 'A', 'text': 'floor'}, {'label': 'B', 'text': 'ground'}, {'label': 'C', 'text': 'warm bed'}, {'label': 'D', 'text': 'sand box'}, {'label': 'E', 'text': 'window'}]",What do cats like to hug when they are peeking at birds?
D,c2fef616e29b3c969758596a52ac9246,"{'question_concept': 'buying products', 'choices': [{'label': 'A', 'text': 'pleasure'}, {'label': 'B', 'text': 'delight'}, {'label': 'C', 'text': 'bankruptcy'}, {'label': 'D', 'text': 'agony'}, {'label': 'E', 'text': 'owning'}], 'stem': 'John spent too much money buying products for his swollen testicles.  He did so because he was feeling what?'}",buying products,"[{'label': 'A', 'text': 'pleasure'}, {'label': 'B', 'text': 'delight'}, {'label': 'C', 'text': 'bankruptcy'}, {'label': 'D', 'text': 'agony'}, {'label': 'E', 'text': 'owning'}]",John spent too much money buying products for his swollen testicles.  He did so because he was feeling what?
D,1b050d4c1d6aee596bc0205f6d7aa995,"{'question_concept': 'small dog', 'choices': [{'label': 'A', 'text': 'nursing home'}, {'label': 'B', 'text': 'dog show'}, {'label': 'C', 'text': 'apart'}, {'label': 'D', 'text': 'suburb'}, {'label': 'E', 'text': 'own house'}], 'stem': 'The small dog always picked up the newspaper from the driveway, where did the dog live?'}",small dog,"[{'label': 'A', 'text': 'nursing home'}, {'label': 'B', 'text': 'dog show'}, {'label': 'C', 'text': 'apart'}, {'label': 'D', 'text': 'suburb'}, {'label': 'E', 'text': 'own house'}]","The small dog always picked up the newspaper from the driveway, where did the dog live?"
E,1fad26c364aa015bd0a22db53667028b,"{'question_concept': 'shopping bag', 'choices': [{'label': 'A', 'text': 'retail store'}, {'label': 'B', 'text': 'refrigerator'}, {'label': 'C', 'text': 'supermarket'}, {'label': 'D', 'text': 'car trunk'}, {'label': 'E', 'text': 'storage cabinet'}], 'stem': 'The bachelor was too lazy to take the groceries out of the shopping bag, he just put the full bags right in his pantry what?'}",shopping bag,"[{'label': 'A', 'text': 'retail store'}, {'label': 'B', 'text': 'refrigerator'}, {'label': 'C', 'text': 'supermarket'}, {'label': 'D', 'text': 'car trunk'}, {'label': 'E', 'text': 'storage cabinet'}]","The bachelor was too lazy to take the groceries out of the shopping bag, he just put the full bags right in his pantry what?"
D,2c1f36267c3663cd1bb22e33f297be1b,"{'question_concept': 'canned goods', 'choices': [{'label': 'A', 'text': 'cabinet'}, {'label': 'B', 'text': 'pantry'}, {'label': 'C', 'text': 'kitchen'}, {'label': 'D', 'text': 'cupboard'}, {'label': 'E', 'text': 'shelf'}], 'stem': 'Behind what small door are canned goods usually kept in?'}",canned goods,"[{'label': 'A', 'text': 'cabinet'}, {'label': 'B', 'text': 'pantry'}, {'label': 'C', 'text': 'kitchen'}, {'label': 'D', 'text': 'cupboard'}, {'label': 'E', 'text': 'shelf'}]",Behind what small door are canned goods usually kept in?
A,f463518f238f8f14a28eb0489241ca21,"{'question_concept': 'familiar', 'choices': [{'label': 'A', 'text': 'cold'}, {'label': 'B', 'text': 'unfamiliar'}, {'label': 'C', 'text': 'unknown'}, {'label': 'D', 'text': 'unacquainted'}, {'label': 'E', 'text': 'shy'}], 'stem': ""Mary wasn't familiar with James, so she wasn't comfortable speaking with him. How might she come off?""}",familiar,"[{'label': 'A', 'text': 'cold'}, {'label': 'B', 'text': 'unfamiliar'}, {'label': 'C', 'text': 'unknown'}, {'label': 'D', 'text': 'unacquainted'}, {'label': 'E', 'text': 'shy'}]","Mary wasn't familiar with James, so she wasn't comfortable speaking with him. How might she come off?"
A,a13e42b3eb3be6f6cc6fd702203096f4,"{'question_concept': 'humans', 'choices': [{'label': 'A', 'text': 'university'}, {'label': 'B', 'text': 'park'}, {'label': 'C', 'text': 'unemployment'}, {'label': 'D', 'text': 'cafe'}, {'label': 'E', 'text': 'movies'}], 'stem': 'American humans just graduated high school, where are many of them bound?'}",humans,"[{'label': 'A', 'text': 'university'}, {'label': 'B', 'text': 'park'}, {'label': 'C', 'text': 'unemployment'}, {'label': 'D', 'text': 'cafe'}, {'label': 'E', 'text': 'movies'}]","American humans just graduated high school, where are many of them bound?"
E,718bb7c081372ebdaae0a6f1cc27e0e9,"{'question_concept': 'weasel', 'choices': [{'label': 'A', 'text': 'law firm'}, {'label': 'B', 'text': 'zoo'}, {'label': 'C', 'text': 'classroom'}, {'label': 'D', 'text': 'forrest'}, {'label': 'E', 'text': 'terrarium'}], 'stem': 'James was a weasel.  He lived in a warm place where he was surrounded by children.  Glass separated him from the  outside world.  He rested comfortably in his what?'}",weasel,"[{'label': 'A', 'text': 'law firm'}, {'label': 'B', 'text': 'zoo'}, {'label': 'C', 'text': 'classroom'}, {'label': 'D', 'text': 'forrest'}, {'label': 'E', 'text': 'terrarium'}]",James was a weasel.  He lived in a warm place where he was surrounded by children.  Glass separated him from the  outside world.  He rested comfortably in his what?
B,80470c5f592040322c50914bb4129d64,"{'question_concept': 'snow', 'choices': [{'label': 'A', 'text': 'africa'}, {'label': 'B', 'text': 'north pole'}, {'label': 'C', 'text': 'roof'}, {'label': 'D', 'text': 'canada'}, {'label': 'E', 'text': 'surface of earth'}], 'stem': 'Where is known to always have snow?'}",snow,"[{'label': 'A', 'text': 'africa'}, {'label': 'B', 'text': 'north pole'}, {'label': 'C', 'text': 'roof'}, {'label': 'D', 'text': 'canada'}, {'label': 'E', 'text': 'surface of earth'}]",Where is known to always have snow?
C,884a20ee89ce4088a5dc3dbc4cc9b747,"{'question_concept': 'staying healthy', 'choices': [{'label': 'A', 'text': 'injury'}, {'label': 'B', 'text': 'happiness'}, {'label': 'C', 'text': 'long life'}, {'label': 'D', 'text': 'a long nose'}, {'label': 'E', 'text': 'envy'}], 'stem': 'What will happen to you if you are staying healthy?'}",staying healthy,"[{'label': 'A', 'text': 'injury'}, {'label': 'B', 'text': 'happiness'}, {'label': 'C', 'text': 'long life'}, {'label': 'D', 'text': 'a long nose'}, {'label': 'E', 'text': 'envy'}]",What will happen to you if you are staying healthy?
